Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Whatsapp,2.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 15:59:00
Whatsapp,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 15:59:00
Whatsapp,2.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 17:00:00
Whatsapp,1.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 17:00:00
Mobile App,50.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 21:04:00
Mobile App,50.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-23 21:04:00
Whatsapp,2.0,2400.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 10:36:00
Whatsapp,2.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 10:36:00
Web App,2.0,3500.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 11:01:00
Web App,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 11:01:00
Whatsapp,1.0,3550.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-24 11:14:00
Whatsapp,1.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 11:19:00
Mobile App,5.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 12:01:00
Whatsapp,2.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 12:36:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 16:45:00
Whatsapp,1.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 16:45:00
Whatsapp,1.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-24 16:45:00
Whatsapp,1.0,1920.0,General Trade,Home Care,delivered,Kitchen Supplies,2020-12-24 16:45:00
Whatsapp,1.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 16:45:00
Mobile App,3.0,3550.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-24 17:13:00
Mobile App,5.0,3500.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-24 17:13:00
Whatsapp,2.0,2350.0,General Trade,Home Care,delivered,Household Clean,2020-12-24 17:53:00
Mobile App,25.0,2200.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-28 09:36:00
Mobile App,20.0,2300.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-28 09:36:00
Whatsapp,1.0,3500.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-28 09:47:00
Whatsapp,1.0,3550.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-28 09:47:00
Whatsapp,1.0,2450.0,Wholesale,Home Care,delivered,Household Clean,2020-12-28 09:47:00
Whatsapp,2.0,2200.0,Wholesale,Home Care,delivered,Household Clean,2020-12-28 09:47:00
Whatsapp,2.0,2250.0,Wholesale,Home Care,delivered,Household Clean,2020-12-28 09:47:00
Whatsapp,1.0,2450.0,Wholesale,Home Care,delivered,Household Clean,2020-12-28 09:47:00
Mobile App,2.0,2350.0,General Trade,Home Care,delivered,Household Clean,2020-12-28 11:41:00
Mobile App,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-28 11:46:00
Mobile App,2.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-28 11:46:00
Mobile App,0.5,3500.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-28 13:06:00
Mobile App,5.0,2100.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-28 15:49:00
Mobile App,5.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-28 15:49:00
Mobile App,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-28 15:49:00
Whatsapp,3.0,3550.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-29 07:59:00
Whatsapp,2.0,2200.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-29 07:59:00
Whatsapp,5.0,2450.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 09:30:00
Whatsapp,5.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 09:30:00
Whatsapp,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 09:30:00
Whatsapp,10.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 09:39:00
Whatsapp,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 09:39:00
Whatsapp,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 09:39:00
Whatsapp,2.0,2450.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 09:42:00
Whatsapp,1.0,2200.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 09:42:00
Whatsapp,1.0,2250.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 09:42:00
Whatsapp,1.0,3500.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 09:42:00
Whatsapp,2.0,2450.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 09:42:00
Whatsapp,1.0,3550.0,Modern Trade,Home Care,delivered,Fabric Clean,2020-12-29 09:42:00
Whatsapp,1.0,3500.0,Modern Trade,Home Care,delivered,Fabric Clean,2020-12-29 09:42:00
Whatsapp,2.0,2200.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 10:11:00
Whatsapp,2.0,2400.0,Modern Trade,Home Care,delivered,Fabric Clean,2020-12-29 10:11:00
Whatsapp,2.0,2450.0,Modern Trade,Home Care,delivered,Household Clean,2020-12-29 10:11:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 11:52:00
Whatsapp,1.0,2200.0,Wholesale,Home Care,delivered,Household Clean,2020-12-29 12:17:00
Whatsapp,3.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 12:21:00
Whatsapp,5.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-29 13:24:00
Whatsapp,1.0,2200.0,Wholesale,Home Care,delivered,Household Clean,2020-12-29 13:24:00
Whatsapp,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 14:07:00
Whatsapp,3.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:07:00
Whatsapp,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 14:14:00
Whatsapp,2.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,2.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,2.0,2700.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,2.0,3500.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,1.0,2210.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-29 14:15:00
Whatsapp,1.0,3640.0,General Trade,Home Care,delivered,Household Clean,2020-12-29 18:00:00
Whatsapp,2.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 09:51:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 09:51:00
Whatsapp,1.0,1920.0,General Trade,Home Care,delivered,Kitchen Supplies,2020-12-30 09:51:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 11:29:00
Whatsapp,2.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 11:29:00
Mobile App,35.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-30 12:32:00
Mobile App,5.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 12:32:00
Mobile App,5.0,3500.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 12:32:00
Mobile App,5.0,1920.0,Wholesale,Home Care,delivered,Kitchen Supplies,2020-12-30 15:43:00
Mobile App,25.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-30 15:43:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-30 17:09:00
Whatsapp,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-30 17:09:00
Mobile App,5.0,2250.0,Wholesale,Home Care,delivered,Household Clean,2020-12-30 18:44:00
Mobile App,10.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-30 18:44:00
Mobile App,20.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-30 18:44:00
Mobile App,15.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 08:03:00
